分类,标题,导演,主演,地区,年份,语言,更新时间,m3u8地址,详情页URL,封面图,简介
女频恋爱,闪婚老公请就位,未知,"刘奕彤,于颢鑫",中国大陆,2026,,2026-06-10,https://v8.ppqrrs.com/wjv8/202606/09/BikAcZ4ySf88/video/index.m3u8,https://duanju2.com/vod/45356.html,https://pic.youkupic.com/upload/vod/20260609-1/a2960aa5bcb1f71a8d20ccbe12a8c55e.jpg,"闪婚老公请就位是由刘奕彤,于颢鑫主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,荆棘月色,未知,"严子贤,向婧怡",中国大陆,2026,,2026-06-10,https://v9.ppqrrs.com/wjv9/202606/09/f3De6qXVTP97/video/index.m3u8,https://duanju2.com/vod/45355.html,https://pic.youkupic.com/upload/vod/20260609-1/095c3a062e7cef06fdcd688954f2bb44.jpg,"荆棘月色是由严子贤,向婧怡主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,九爷请自重,未知,未知,中国大陆,2024,,2026-06-10,https://v10.ppqrrs.com/wjv10/202407/19/D9L03F4hCM82/video/index.m3u8,https://duanju2.com/vod/9872.html,https://img.ffzy888.com/upload/vod/20240811-1/6035cd382594837a33d8eec886057810.png,九爷请自重是由未知主演的一部女频恋爱主演的一部女频恋爱。
女频恋爱,那就下次再见吧,未知,白妍＆杜昱泽,中国大陆,2026,,2026-06-10,https://v7.ppqrrs.com/wjv7/202606/09/m2btMxUicT96/video/index.m3u8,https://duanju2.com/vod/45398.html,https://pic.youkupic.com/upload/vod/20260610-1/7741a87299b6c48b05faf90babea3be1.jpg,"那就下次再见吧是由白妍＆杜昱泽主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,他却爱意疯长,未知,"张皓文,徐小浠",中国大陆,2026,,2026-06-09,https://v5.ppqrrs.com/wjv5/202606/08/ZJg2NCm9yx95/video/index.m3u8,https://duanju2.com/vod/45348.html,https://pic.youkupic.com/upload/vod/20260609-1/ee8b55033b976fb6f6f9748f24f2510d.jpg,"他却爱意疯长是由张皓文,徐小浠主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,灼玉：无人及她,未知,"黄子淇,张乙萌",中国大陆,2026,,2026-06-09,https://v5.ppqrrs.com/wjv5/202606/08/tCma58GGBZ96/video/index.m3u8,https://duanju2.com/vod/45342.html,https://pic.youkupic.com/upload/vod/20260609-1/e833050284e712bcf32a72e350a578da.jpg,"灼玉：无人及她是由黄子淇,张乙萌主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,盛夏遇你恰逢时,未知,李科佑＆李汝,中国大陆,2026,,2026-06-09,https://v12.ppqrrs.com/wjv12/202606/08/hYP4LNYqeP94/video/index.m3u8,https://duanju2.com/vod/45345.html,https://pic.youkupic.com/upload/vod/20260609-1/390e766186fc3c81b6378651d1424843.jpg,"盛夏遇你恰逢时是由李科佑＆李汝主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,南音再许,未知,未知,中国大陆,2025,,2026-06-08,https://v12.ppqrrs.com/wjv12/202507/02/NX212MkbQu84/video/index.m3u8,https://duanju2.com/vod/24027.html,https://pic.youkupic.com/upload/vod/20250702-1/7869202851f717bd84aede64f16de1ea.jpg,南音再许是由未知主演的一部女频恋爱主演的一部女频恋爱。
女频恋爱,男友半盐半糖,未知,"金佳遇,吴纯一",中国大陆,2026,,2026-06-07,https://v12.ppqrrs.com/wjv12/202606/06/UyK0v1u4T196/video/index.m3u8,https://duanju2.com/vod/45242.html,https://pic.youkupic.com/upload/vod/20260606-1/1fb7392e48afb5dd472abdf18c5acbd6.jpg,"男友半盐半糖是由金佳遇,吴纯一主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
女频恋爱,重生不做替嫁：大佬他非我不娶,未知,"李紫未,于散",中国大陆,2026,,2026-06-06,https://v4.ppqrrs.com/wjv4/202606/04/qduFPh839B91/video/index.m3u8,https://duanju2.com/vod/45190.html,https://pic.youkupic.com/upload/vod/20260605-1/5d78b245576ac8b5ad48d300239ff2f0.jpg,"重生不做替嫁：大佬他非我不娶是由李紫未,于散主演的一部短剧,女频恋爱主演的一部短剧,女频恋爱。"
